display_name,host_id,start_date,end_date,id,results,checklist,men,women,
OSU Duals,ohiostate,9/29/2024,9/29/2024,osu-duals-24-25,TRUE,bostoncollege,TRUE,TRUE,
LIU Invitational,liu,10/20/2024,10/20/2024,liu-invitational-24-25,TRUE,duke,TRUE,TRUE,
Elite Invitational ,upenn,11/16/2024,11/17/2024,3,FALSE,unc,TRUE,TRUE,
St John's Invitational,stjohns,1/18/2025,1/18/2025,4,FALSE,notredame,TRUE,TRUE,
Philadelphia Inviational,upenn,1/18/2025,1/19/2025,5,FALSE,brown,FALSE,FALSE,not available as of oct 29
Decicco Duals ,notredame,1/25/2025,1/26/2025,6,FALSE,columbia,TRUE,TRUE,
Northwestern Duals ,northwestern,2/1/2025,2/2/2025,7,FALSE,cornell,TRUE,n/a,
ACC Championships,unc,2/22/2025,2/23/2025,8,FALSE,harvard,TRUE,TRUE,
NCAA Midwest regionals ,denison,3/8/2025,3/8/2025,9,FALSE,upenn,TRUE,TRUE,
NCAA Championships,pennstate,3/20/2025,3/23/2025,10,FALSE,princeton,TRUE,TRUE,
Temple Open / Nikki Franke Classic,temple,10/26/2024,10/27/2024,11,FALSE,yale,TRUE,TRUE,
Duke vs UNC,duke,11/2/2024,11/2/2024,12,FALSE,airforce,TRUE,TRUE,
Eric Sollee Inviational ,mit,2/2/2025,2/2/2025,13,FALSE,incarnateword,TRUE,TRUE,
The Beguinet Classic,duke,2/8/2025,2/8/2025,14,FALSE,ucsd,TRUE,TRUE,
Miller Invitational ,unc,2/9/2025,2/9/2025,15,FALSE,stanford,TRUE,TRUE,
The Big One ,,11/2/2024,11/2/2024,16,FALSE,clevelandstate,TRUE,TRUE,
Western Invitational ,ucsd,11/2/2024,11/3/2024,western-invitational-24-25,TRUE,detroitmercy,TRUE,TRUE,
Beanpot ,bostoncollege,11/13/2024,11/13/2024,18,FALSE,lafayette,TRUE,TRUE,
Brandeis Inviational,brandeis,12/8/2024,12/8/2024,19,FALSE,liu,TRUE,TRUE,
NEICAA Champs,,2/23/2025,2/23/2025,20,FALSE,njit,TRUE,TRUE,
NCAA northeast regionals ,tufts,3/9/2025,3/9/2025,21,FALSE,ohiostate,FALSE,FALSE,
Northeast Fencing Conference Championships,brown,11/23/2024,11/24/2024,22,FALSE,pennstate,FALSE,FALSE,
at harvard ?,harvard,2/1/2025,2/1/2025,23,FALSE,shu,FALSE,FALSE,
Mid-Atlantic/South Regionals,fdu,3/8/2025,3/8/2025,24,FALSE,stjohns,FALSE,FALSE,
Penn State Invitational,pennstate,1/25/2025,1/26/2025,25,FALSE,wagner,FALSE,FALSE,
Columbia Invitational,columbia,11/22/2024,11/22/2024,26,FALSE,fdu,FALSE,FALSE,
Tigers Invitational,princeton,1/14/2025,1/14/2025,27,FALSE,northwestern,FALSE,FALSE,
St. John's Super Cup,stjohns,1/19/2025,1/19/2025,28,FALSE,waynestate,FALSE,FALSE,
Brian Palestis Memorial,wagner,2/2/2025,2/2/2025,29,FALSE,brandeis,FALSE,FALSE,
Ivy League Round Robin Championships,upenn,2/8/2025,2/8/2025,30,FALSE,ccny,FALSE,FALSE,
George Kolombatovich Historical Meet,columbia,2/12/2025,2/12/2025,31,FALSE,denison,FALSE,FALSE,
Drew Invitational,drew,11/3/2024,11/3/2024,32,FALSE,drew,FALSE,FALSE,
Vassar Invitational,vassar,11/10/2024,11/10/2024,33,FALSE,haverford,FALSE,FALSE,
Tufts Invitational,tufts,1/12/2025,1/12/2025,34,FALSE,hunter,FALSE,FALSE,
Cornell at Harvard,harvard,1/13/2025,1/13/2025,35,FALSE,johnshopkins,FALSE,FALSE,
Duke/NYU Dual Meets,harvard,2/1/2025,2/1/2025,36,FALSE,lawrence,FALSE,FALSE,
Temple Invitational,temple,2/23/2025,2/23/2025,37,FALSE,mit,FALSE,FALSE,
Sacred Heart Duals,shu,12/8/2024,12/8/2024,38,FALSE,nyu,FALSE,FALSE,
Tri-State Shark Showcase,liu,1/26/2025,1/26/2025,39,FALSE,stevens,FALSE,FALSE,
Yale Invitational,yale,2/1/2025,2/1/2025,40,FALSE,tufts,FALSE,FALSE,
MPSF Fencing Championships,airforce,3/9/2025,3/9/2025,41,FALSE,vassar,FALSE,FALSE,
West Regional,airforce,3/8/2025,3/8/2025,42,FALSE,wellesley,FALSE,FALSE,
Philadelphia Inviational,temple,1/17/2025,1/17/2025,43,FALSE,yeshiva,FALSE,FALSE,
Cleveland State vs Denison,denison,1/16/2025,1/16/2024,44,FALSE,temple,FALSE,FALSE,
CCFC Championship,waynestate,2/22/2025,2/23/2025,45,FALSE,,,,
MACFA A vs B,stevens,11/17/2025,11/17/2025,46,FALSE,,,,
MACFA A vs C,johnshopkins,2/2/2025,2/2/2025,47,FALSE,,,,
FDU Invitational,fdu,2/9/2025,2/9/2025,48,FALSE,,,,
MACFA A Round-Robin,drew,2/15/2025,2/15/2025,49,FALSE,,,,
LIU Invitational,liu,2/23/2025,2/23/2025,50,FALSE,,,,
MAFCA Championships,drew,3/2/2025,3/2/2025,51,FALSE,,,,
LIU Invitational,liu,11/16/2024,11/16/2024,52,FALSE,,,,
Vassar Tradition Meet,vassar,12/8/2024,12/8/2024,53,FALSE,,,,
NIWFA Championships,drew,3/1/2025,3/1/2025,54,FALSE,,,,
MACFA B Round Robin,stevens,2/9/2025,2/9/2025,55,FALSE,,,,
MACFA B vs. C,stevens,2/16/2025,2/16/2025,56,FALSE,,,,